,,,,,Fontes:
Além Paraíba ,,além-paraibano; além-paraibense,,,
Alfenas ,,alfenense,,,
Alfredo Vasconcelos ,,vasconcelense,,,
Almenara ,,almenarense,,,
Alpercata ,,alpercatense,,,
Alpinópolis ,,alpinopolense,,,
Alterosa ,,alterosense,,,
Alto Caparaó ,,alto-caparoense,,,
Alto Jequitibá ,,jequitibaense; alto-jequitibaense,,,
Alto Rio Doce ,,alto-rio-docense,,,
Alvarenga ,,alvarenguense,,,
Alvinópolis ,,alvinopolense,,,
Alvorada de Minas,,alvoradense,,,
Amparo da Serra ,,amparo-serrano,,,
Andradas ,,andradense,,,
Araçaí ,,araçaiense,,,
Aracitaba ,,aracitabense; aracitabano,,,
Araçuaí ,,araçuaiense; araçuaiano,,,
Araguari ,,araguarino,,,
Arantina ,,arantinense,,,
Araponga ,,araponguense,,,
Araporã ,,araporense,,,
Arapuá ,,arapuense,,,
Araújos ,,araujense,,,
Araxá ,,araxaense,,,
Arceburgo ,,arceburguense,,,
Arcos ,,arcoense,,,
Areado ,,areadense,,,
Argirita ,,argiritense,,,
Aricanduva ,,aricanduvense,,,
Arinos ,,arinense,,,
Astolfo Dutra ,,astolfo-dutrense,,,
Ataléia ,,ataleiense,,,
Augusto de Lima ,,augusto-limense,,,
Barão de Cocais,,cocaiense,,,
Barbacena ,,barbacenense,,,
Barroso ,,barrosense,,,
Brasília de Minas ,,brasil-minense,,,
Belo Horizonte ,*,belo-horizontino; belorizontino,,,
Belo Vale ,,belovalense,,,
Betim ,,betinense,,,
Boa Esperança ,,esperancense,,,
Bocaiuva ,,bocaiuvense,,,
Bom Despacho ,,bom-despachense,,,
Bom Sucesso ,,bom-sucessense,,,
Borda da Mata ,,borda-matense,,,
Botelhos ,,botelhense,,,
Brumadinho ,,brumadinense,,,
Bueno Brandão ,,bueno-brandense,,,
Buritis ,,buritisense,,,
Buritizeiro ,,buritizeirense,,,
Cabo Verde ,,cabo-verdense,,,
Caeté ,,caeteense,,,
Cajuri ,,cajuriense,,,
Caldas ,,caldense,,,
Cambuí ,,cambuiense,,,
Cambuquira ,,cambuquirense,,,
Campanha ,,campanhense,,,
Campestre ,,campestrense,,,
Campina Verde ,,campina-verdense,,,
Campo Belo ,,campo-belense,,,
Campos Gerais ,,campos-geraiense,,,
Capela Nova ,,capela-novense,,,
Capelinha ,,capelinhense,,,
Capitólio ,,capitolino,,,
Caranaíba ,,caranaibense,,,
Carandaí ,,carandaiense,,,
Carangola ,,carangolense,,,
Caratinga ,,caratinguense,,,
Careaçu ,,careaçuense,,,
Carmo do Paranaíba ,,carmelitano; carmense,,,
Carvalhópolis ,,carvalhopolitano,,,
Casa Grande,,casa-grandense,,,
Cataguases ,,cataguasense,,,
Catas Altas ,,catas-altense,,,
Catas Altas da Noruega ,,catas-altense,,,
Caxambu ,,caxambuense,,,
Cedro do Abaeté ,,cedrense,,,
Central de Minas ,,centralense,,,
Cláudio ,,claudiense,,,
Coluna ,,colunense,,,
Comercinho,,comercinhense,,,
Conceição da Barra de Minas ,,concepcionense,,,
Confins ,,confinense,,,
Congonhas ,,congonhense,,,
Conselheiro Lafaiete,,lafaietense,,,
Contagem ,,contagense,,,
Coração de Jesus ,,corjesuense,,,
Corinto ,,corintiano,,,
Coromandel ,,coromandelense,,,
Coronel Fabriciano ,,fabricianense,,,
Coronel Xavier Chaves ,,xavierense,,,
Córrego do Bom Jesus ,,correguense,,,
Cristiano Otoni ,,cristianense,,,
Crucilândia ,,crucilandense; crucilandês,,,
Cruzília ,,cruziliense,,,
Curvelo ,,curvelano; curvelense,,,
Desterro de Entre Rios,,desterrense,,,
Desterro do Melo ,,melense,,,
Diamantina ,,diamantinense,,,
Diogo de Vasconcelos ,,vasconcelense,,,
Dionísio ,,dionisiano,,,
Divino ,,divinense,,,
Divino das Laranjeiras ,,divinense,,,
Divinópolis ,,divinopolitano,,,
Dom Joaquim ,,dom-joaquinense,,,
Dores de Campos ,,dores-campista,,,
Entre Rios de Minas ,,entrerriano,,,
Esmeraldas ,,esmeraldense,,,
Espinosa ,,espinosense,,,
Extrema ,,extremense,,,
Felício dos Santos ,,felisantense,,,
Felixlândia ,,felixlandense,,,
Ferros ,,ferrense,,,
Formiga ,,formiguense,,,
Fortuna de Minas ,,fortunense,,,
Florestal ,,florestalense,,,
Frutal ,,frutalense,,,
Gonzaga,,gonzaguense,,,
Governador Valadares ,,valadarense,,,
Guanhães ,,guanhanense,,,
Guaranésia ,,guaranesiano,,,
Guaxupé ,,guaxupeano,,,
Heliodora ,,heliodorense,,,
Ibertioga ,,ibertiogano,,,
Ibiá ,,ibiaense,,,
Ibirité ,,ibiritense,,,
Ibitira,,ibitirense,,,
Ibitiúra de Minas ,,ibitiurense,,,
Igarapé ,,igarapense,,,
Ijaci ,,ijaciense,,,
Ilicínea,,ilicinense,,,
Inimutaba ,,inimutabense,,,
Inhapim ,,inhapinhense,,,
Ipanema,,ipanemense,,,
Ipatinga ,,ipatinguense,,,
Itabira,,itabirano,,,
Itabirito ,,itabiritense,,,
Itaguara ,,itaguarense,,,
Itajubá ,,itajubense,,,
Itamarandiba ,,itamarandibano,,,
Itambacuri,,itambacuriense,,,
Itambé do Mato Dentro ,,itambeense,,,
Itapeva,,itapevense,,,
Itatiaiuçu ,,itatiaiuçuense,,,
Itaúna ,,itaunense,,,
Itaverava ,,itaveravense,,,
Ituiutaba ,,ituiutabano; tejucano,,,
Iturama ,,ituramense,,,
Jaíba ,,jaibense,,,
Janaúba ,,janaubense,,,
Januária ,,januarense,,,
Jeceaba ,,jeceabense; jeceabano,,,
Jequitaí ,,jequitaiense,,,
João Monlevade ,,monlevadense,,,
João Pinheiro ,,pinheirense,,,
Joaquim Felício ,,joaquim-feliciano,,,
Juatuba ,,juatubense,,,
Juiz de Fora ,,juiz-forano; juiz-de-forano; juiz-forense,,,
Lagoa da Prata ,,lagopratense,,,
Lagoa Dourada ,,lagoa-douradense,,,
Lagoa Santa ,,lagoa-santense,,,
Lambari ,,lambariense,,,
Lavras ,,lavrense,,,
Leopoldina ,, leopoldinense,,,
Machado ,,machadense,,,
Madre de Deus de Minas ,,madre-deuense,,,
Manhuaçu ,,manhuaçuense,,,
Manhumirim ,,manhumiriense,,,
Mantena ,,mantenense,,,
Maria da Fé ,,mariense,,,
Mariana ,,marianense,,,
Mateus Leme ,,mateus-lemense,,,
Matozinhos ,,matozinhense,,,
Minas Novas ,,minas-novense,,,
Miradouro ,,miradourense,,,
Moeda ,,moedense,,,
Monsenhor Paulo ,,paulense,,,
Monte Carmelo ,,carmelitano,,,
Monte Sião ,,monte-sionense,,,
Montes Claros ,,montes-clarense,,,
Morada Nova de Minas,,moradense,,,
Morro do Pilar ,,morrense,,,
Muriaé ,,muriaense,,,
Mutum ,,mutuense,,,
Muzambinho ,,muzambense,,,
Nanuque ,,nanuquense,,,
Nazareno ,,nazarenense,,,
Nepomuceno ,,nepomucenense,,,
Nova Era ,,nova-erense,,,
Nova Lima ,,nova-limense,,,
Nova Serrana ,,nova-serranense,,,
Novo Cruzeiro ,,neocruzeirense,,,
Oliveira ,,oliveirense,,,
Oliveira Fortes ,,oliveira-fortense,,,
Onça de Pitangui ,,oncense,,,
Ouro Branco ,,ouro-branquense,,,
Ouro Fino ,,ourofinense,,,
Ouro Preto ,,ouro-pretano,,,
